Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
141,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
142,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
143,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
144,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
145,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
146,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
147,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
148,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
149,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
150,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
151,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
152,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
153,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
154,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
155,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
156,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
157,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
158,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
159,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
160,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
161,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
162,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
163,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
164,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
165,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
166,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
167,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
168,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
169,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
170,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
171,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
172,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
173,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
174,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
175,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
176,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
177,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
178,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
179,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
180,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
181,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
182,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
183,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
184,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
185,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
186,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
187,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
188,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
189,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
190,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
191,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
192,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
193,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
194,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
195,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
196,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
197,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
198,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
199,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
200,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
201,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
202,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
203,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
204,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
205,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
206,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
207,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
208,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
209,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
210,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
211,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
212,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
213,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
214,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
215,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
216,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
217,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
218,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
219,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
220,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
221,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
222,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
223,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
224,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
225,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
226,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
227,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
228,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
229,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
230,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
231,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
232,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
233,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
234,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
235,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
236,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
237,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
238,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
239,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
240,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
241,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
242,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
243,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
244,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
245,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
246,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
247,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
248,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
249,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
250,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
251,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
252,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
253,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
254,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
255,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
256,,,,,,,,,,,,,,,,,,,,,,,,,,,ICOP23
