Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Parallax,W,W',q,q',Cloud Level,Seen
44,2457604.32947,52.58528,-1.98396,1.829,2457604.32615,2457604.33361,10.74011,0.27343,288.32472,-0.63283,300.11345,0.00258,1.01209,11.82333,0.90626,11.78873,56.76682,0.32813,0.32815,-0.89314,-0.89313,1,Not_seen
45,2457604.33,53.95763,-1.08271,1.83,2457604.32727,2457604.3334,8.82632,0.09816,289.16417,-0.49763,301.00358,0.00258,1.01209,11.85427,0.59579,11.83941,56.76705,0.32984,0.32985,-0.92318,-0.92318,1,Not_seen
46,2457605.33867,53.69076,-1.62907,2.839,2457605.32678,2457605.35354,38.53868,2.48013,279.76796,-2.17174,302.97493,0.00261,1.01209,23.66226,4.65187,23.20697,56.0872,1.28471,1.28562,-0.00546,-0.00502,0.5,Not_seen
47,2457605.33035,51.39822,-0.19837,2.83,2457605.3171,2457605.34692,42.94629,3.01745,278.77422,-2.59046,301.63188,0.00261,1.01209,23.52649,5.60791,22.85766,56.06705,1.26976,1.27085,0.08274,0.08328,1,Not_seen
48,2457605.35159,55.63616,-4.78588,2.852,2457605.34098,2457605.36486,34.38618,2.02064,280.72607,-1.81782,304.26616,0.00261,1.01209,23.8466,3.83846,23.54009,56.09696,1.30474,1.30549,-0.07691,-0.07654,0.5,Not_seen
49,2457635.29342,51.11303,-0.18312,2.793,2457635.27485,2457635.31663,60.16595,4.56588,260.80019,-4.07602,286.7258,0.00268,1.00616,27.30436,8.64191,25.92561,54.55916,1.65618,1.65828,0.57311,0.5741,1,Not_seen
50,2457634.29272,53.69076,-1.62907,1.793,2457634.28298,2457634.30491,31.5781,1.98978,270.09967,-2.01834,285.65008,0.00266,1.00623,16.05558,4.00812,15.55041,55.10642,0.58563,0.58595,-0.43569,-0.4355,0.5,Not_seen
51,2457634.28703,51.50853,-0.12574,1.787,2457634.2766,2457634.30006,33.77921,2.30438,269.84308,-2.27456,285.13327,0.00266,1.00623,15.9572,4.57894,15.29019,55.09758,0.57843,0.5788,-0.38262,-0.38241,1,Not_seen
52,2457663.24306,53.70291,-1.6337,0.743,2457663.23372,2457663.25473,30.267,1.85434,259.45774,-1.98735,266.69361,0.0027,0.9983,8.19125,3.84168,7.23587,54.35703,0.15109,0.15116,-0.70565,-0.7056,1,Not_seen
53,2457663.23996,51.38333,-0.1,0.74,2457663.23054,2457663.25174,30.51642,2.00782,259.93932,-2.11253,266.94421,0.0027,0.9983,8.12555,4.12035,7.00488,54.35295,0.14867,0.14875,-0.67926,-0.67921,1,Not_seen
