Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
298,2455803.24538,48.13711,11.57538,0.618,2455803.2513,2455803.23797,-19.18333,-2.31214,273.60099,0.54653,283.3685,0.00242,1.00757,10.17515,2.85868,9.76751,0.00786,60.57898,0.25958,0.2594,-0.73847,-0.73858,0,Not_seen,Seen_ccd,Seen_ccd,0.25,ICOP
299,2455803.12212,25.28563,51.52642,0.494,2455803.12252,2455803.12162,-1.3,-0.72489,272.24153,-0.70369,280.67075,0.00242,1.00758,8.42859,0.0212,8.42922,0.0054,60.58779,0.17829,0.17825,-1.07113,-1.07116,0,Not_seen,Not_seen,Not_seen,0,ICOP
300,2455803.15533,24.47115,39.61112,0.527,2455803.15513,2455803.15558,0.65,-0.48795,271.91045,-0.89641,280.66642,0.00242,1.00758,8.76483,0.40846,8.75597,0.00584,60.60048,0.19281,0.19278,-1.02361,-1.02362,0,Not_seen,Not_seen,Not_seen,0,ICOP
301,2455803.14805,25.62426,42.35283,0.52,2455803.14819,2455803.14787,-0.46667,-0.62447,272.03056,-0.78911,280.73701,0.00242,1.00758,8.70735,0.16464,8.70646,0.00576,60.5969,0.19028,0.19025,-1.04952,-1.04954,0,Not_seen,Not_seen,Not_seen,0,ICOP
302,2455803.14805,25.62426,42.35283,0.52,2455803.14819,2455803.14787,-0.46667,-0.62447,272.03056,-0.78911,280.73701,0.00242,1.00758,8.70735,0.16464,8.70646,0.00576,60.5969,0.19028,0.19025,-1.04952,-1.04954,0,Not_seen,Not_seen,Not_seen,0,ICOP
303,2455803.19631,-33.92899,18.4174,0.568,2455803.18476,2455803.21075,37.43333,3.54075,275.1413,-4.23378,278.37662,0.00242,1.00757,8.41987,7.77453,3.23532,0.00539,60.49897,0.17766,0.17785,-0.29618,-0.29607,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
304,2455803.49736,37.22966,-80.41368,0.87,2455803.49659,2455803.49833,2.51667,-0.29462,269.40149,-1.05153,282.40106,0.00242,1.00754,13.0206,0.75692,12.99958,0.01286,60.68765,0.42511,0.42507,-0.85168,-0.8517,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
305,2455804.27039,32.48586,3.6771,1.643,2455804.25897,2455804.28468,37.01667,3.62957,261.60423,-4.22659,283.38074,0.00241,1.0075,23.1339,7.85615,21.77651,0.04021,60.6408,1.32851,1.33,0.33656,0.33729,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP
306,2455803.84125,-33.85482,151.21645,1.213,2455803.81622,2455803.87255,81.11667,8.35905,273.82237,-8.23991,275.44231,0.00241,1.00751,16.67727,16.59896,1.61995,0.02103,60.09671,0.68872,0.69047,0.88025,0.8812,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
307,2455804.02476,23.81065,90.41265,1.397,2455804.01307,2455804.03939,37.9,4.09836,264.30069,-4.61489,281.96795,0.00241,1.0075,19.68359,8.71325,17.66726,0.02922,60.60174,0.96478,0.966,0.23862,0.23926,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
308,2455803.9524,4.91337,114.79185,1.325,2455803.93618,2455803.97267,52.55,6.45134,266.6138,-6.57524,279.70701,0.00241,1.0075,18.4495,13.02658,13.09321,0.0257,60.36757,0.84533,0.847,0.60727,0.60815,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
309,2455804.27691,5.56001,-0.20574,1.649,2455804.25581,2455804.30329,68.36667,8.53457,264.38393,-8.29511,279.88348,0.00241,1.0075,22.84165,16.82969,15.49954,0.03921,60.08973,1.28383,1.28716,1.21188,1.21353,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
310,2455803.96132,-7.56925,110.82845,1.333,2455803.94166,2455803.98589,63.7,7.87569,268.3714,-7.77206,278.14879,0.00241,1.0075,18.43513,15.64774,9.77739,0.02566,60.1799,0.84141,0.84342,0.8673,0.86837,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
311,2455804.13717,35.68925,51.3896,1.509,2455804.12873,2455804.14773,27.36667,2.43054,262.84818,-3.24744,283.47565,0.00241,1.0075,21.386,5.67798,20.62747,0.03443,60.70705,1.13884,1.13969,0.02424,0.02467,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP
312,2455804.15581,26.09086,43.98644,1.528,2455804.14322,2455804.17155,40.8,4.35843,263.00188,-4.82728,282.44239,0.00241,1.0075,21.48239,9.18572,19.44051,0.03473,60.58643,1.14672,1.14826,0.379,0.37977,0.75,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ICOP
313,2455804.12217,25.74437,55.92189,1.494,2455804.10988,2455804.13753,39.81667,4.25607,263.32442,-4.74121,282.3449,0.00241,1.0075,21.02328,8.99727,19.02049,0.03328,60.59375,1.09891,1.10035,0.33594,0.33667,0,Not_seen,Not_seen,Not_seen,0,ICOP
314,2455803.5366,29.75894,-95.3677,0.909,2455803.53296,2455803.54115,11.78333,0.81652,268.63971,-1.949,281.73784,0.00241,1.00753,13.38503,2.76552,13.09813,0.01358,60.69008,0.44915,0.44926,-0.63702,-0.63696,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
315,2455804.50741,37.22966,-80.41368,1.88,2455804.49559,2455804.52219,38.3,3.514,259.06168,-4.1373,284.38377,0.00241,1.0075,26.43435,7.6513,25.32209,0.05228,60.63817,1.72734,1.72921,0.50764,0.50852,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
316,2455862.21531,32.48586,3.6771,0.885,2455862.20828,2455862.2241,22.78333,1.78843,245.15972,-2.9061,256.62872,0.0024,0.99153,12.38912,4.69453,11.469,0.01164,61.13888,0.3879,0.38811,-0.47942,-0.4793,0,Not_seen,Not_seen,Not_seen,0,ICOP
317,2455861.95496,-31.95271,115.86048,0.625,2455861.94233,2455861.97075,40.93333,3.75339,251.44716,-4.52515,251.93719,0.00239,0.99157,8.293,8.27854,0.49003,0.00523,61.1308,0.17416,0.17436,-0.24791,-0.24779,0,Not_seen,Not_seen,Not_seen,0,ICOP
318,2455862.25101,5.56001,-0.20574,0.921,2455862.23823,2455862.26699,41.41667,4.60968,249.98313,-5.30379,257.57202,0.0024,0.99152,12.47886,9.91347,7.58888,0.01181,60.95639,0.39234,0.3929,0.04505,0.04537,0,Not_seen,Not_seen,Not_seen,0,ICOP
319,2455862.22452,9.60004,7.99997,0.894,2455862.21286,2455862.23909,37.76667,4.10411,249.55576,-4.87285,257.78143,0.0024,0.99152,12.16988,8.97696,8.22567,0.01124,61.00815,0.37354,0.37402,-0.05952,-0.05924,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
320,2455862.22429,10.38253,7.85332,0.894,2455862.21277,2455862.23869,37.33333,4.03753,249.4454,-4.81865,257.81076,0.0024,0.99152,12.17656,8.85618,8.36536,0.01125,61.01328,0.37398,0.37445,-0.07134,-0.07107,0,Not_seen,Not_seen,Not_seen,0,ICOP
321,2455862.0763,21.00003,57.00369,0.746,2455862.06914,2455862.08525,23.2,2.14262,248.6229,-3.17946,257.52416,0.00239,0.99155,10.3679,5.32208,8.90126,0.00816,61.17849,0.27215,0.27233,-0.48465,-0.48454,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
322,2455862.10198,24.63892,46.71601,0.772,2455862.09507,2455862.11063,22.4,1.96897,247.78572,-3.03717,257.31567,0.00239,0.99154,10.76177,5.00614,9.52996,0.00879,61.17589,0.29314,0.29332,-0.50379,-0.50368,0,Not_seen,Not_seen,Not_seen,0,ICOP
323,2455862.23402,-33.92899,18.4174,0.904,2455862.21502,2455862.25777,61.55,5.75111,251.38879,-6.22519,249.96101,0.0024,0.99152,12.0608,11.9763,-1.42778,0.01104,60.85329,0.36597,0.36662,0.236,0.23638,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
324,2455862.14923,-6.75715,39.2392,0.819,2455862.13649,2455862.16516,41.28333,4.60343,251.56076,-5.26807,256.40444,0.0024,0.99154,10.99313,9.87149,4.84369,0.00917,60.99706,0.30495,0.30539,-0.01027,-0.01001,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
325,2455862.41989,10.55202,-61.37228,1.089,2455862.4049,2455862.43863,48.58333,5.39396,248.47303,-6.01443,257.95497,0.0024,0.9915,14.82425,11.40838,9.48194,0.01664,60.80988,0.55145,0.55237,0.28524,0.28575,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
326,2455862.46112,29.65197,-82.32498,1.131,2455862.4494,2455862.47578,37.98333,3.45323,244.0932,-4.40307,257.63969,0.0024,0.99149,15.65018,7.85629,13.54649,0.01854,60.95013,0.61563,0.61629,-0.0342,-0.03384,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
327,2455862.99627,23.81065,90.41265,1.666,2455862.97387,2455863.02427,72.58333,7.43869,242.2738,-8.04134,259.18109,0.00241,0.99144,22.88528,15.48004,16.90729,0.03936,60.25456,1.29221,1.29514,1.08106,1.08251,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
328,2455863.18927,49.59827,8.73544,1.859,2455863.17403,2455863.20832,49.38333,2.82822,229.63997,-4.23067,254.6182,0.00242,0.99143,25.9394,7.05889,24.97822,0.05037,60.56703,1.66241,1.66385,0.41775,0.41844,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
329,2455863.23621,10.62283,10.02878,1.906,2455863.20633,2455863.27356,96.81667,11.0778,244.89891,-11.16575,258.50416,0.00242,0.99143,26.0297,22.24355,13.60524,0.05072,59.47974,1.64375,1.64922,1.92738,1.92997,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
330,2455863.06129,24.85468,67.02071,1.731,2455863.03802,2455863.09038,75.4,7.64678,241.56635,-8.26097,259.31474,0.00241,0.99144,23.79125,15.90775,17.74839,0.04249,60.18486,1.39343,1.39667,1.17351,1.17509,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
331,2455863.11891,24.63892,46.71601,1.788,2455863.09456,2455863.14935,78.9,8.02907,241.29447,-8.62121,259.43845,0.00242,0.99143,24.5785,16.65027,18.14397,0.0453,60.09266,1.48345,1.48707,1.29141,1.29316,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
332,2455891.14482,48.13711,11.57538,0.388,2455891.14332,2455891.1467,4.86667,-0.21263,234.36998,-1.1435,239.4063,0.00242,0.98474,5.12122,0.93086,5.03632,0.002,60.54425,0.06585,0.06584,-1.04931,-1.04931,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
333,2455891.24226,-33.92899,18.4174,0.486,2455891.23394,2455891.25267,26.98333,2.10909,245.04309,-3.05224,242.35715,0.00242,0.98472,5.81792,5.16132,-2.68594,0.00258,60.4547,0.08484,0.0849,-0.61446,-0.61442,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
334,2455891.48099,39.78373,-100.44588,0.724,2455891.47211,2455891.49209,28.78333,1.9464,237.23809,-3.04767,245.23295,0.00243,0.98469,9.42402,4.99407,7.99486,0.00675,60.33035,0.22184,0.22197,-0.54753,-0.54745,0.75,Not_seen,Not_seen,Not_seen,0,ICOP
335,2455891.42919,37.22966,-80.41368,0.672,2455891.42095,2455891.43949,26.7,1.88308,238.75915,-2.97523,245.95915,0.00243,0.9847,8.68375,4.85831,7.20001,0.00573,60.3621,0.18852,0.18863,-0.58122,-0.58115,0,Not_seen,Not_seen,Not_seen,0,ICOP
336,2455892.21846,32.48586,3.6771,1.462,2455892.19473,2455892.24811,76.86667,6.90476,237.02109,-7.4976,249.87813,0.00245,0.98465,19.28354,14.40236,12.85704,0.02805,59.44374,0.90863,0.91052,0.77823,0.77922,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
337,2455892.22865,24.37534,4.32084,1.472,2455892.20413,2455892.25929,79.43333,7.99905,240.32665,-8.33779,250.69348,0.00245,0.98465,19.32959,16.33684,10.36683,0.02818,59.28797,0.91054,0.91273,0.97268,0.97382,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
338,2455891.96487,-7.56925,110.82845,1.208,2455891.94382,2455891.99119,68.21667,7.78424,248.2535,-7.80764,247.56064,0.00244,0.98466,15.60717,15.59188,-0.69286,0.01844,59.50538,0.59776,0.59916,0.72944,0.73022,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
339,2455892.12799,31.95157,35.92396,1.371,2455892.10597,2455892.15552,71.35,6.43455,237.64089,-7.05534,249.6735,0.00245,0.98465,18.05786,13.48989,12.0326,0.02463,59.56637,0.79937,0.80092,0.62912,0.62995,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
340,2455892.25318,6.45506,3.39418,1.496,2455892.22731,2455892.28552,83.81667,9.63175,245.73449,-9.49447,249.7425,0.00245,0.98465,19.53784,19.12622,4.00802,0.02879,59.00856,0.92569,0.92835,1.25955,1.26094,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
341,2455892.23606,10.38253,7.85332,1.479,2455892.21067,2455892.2678,82.26667,9.28811,244.74117,-9.25561,250.20081,0.00245,0.98465,19.32399,18.54372,5.45965,0.02817,59.08011,0.90683,0.90935,1.19142,1.19274,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
342,2455892.22962,10.62283,10.02878,1.473,2455892.20436,2455892.26119,81.83333,9.22738,244.68492,-9.20448,250.22043,0.00245,0.98465,19.23825,18.43186,5.53551,0.02792,59.09503,0.8991,0.90158,1.17618,1.17748,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
343,2455892.05044,24.85468,67.02071,1.294,2455892.02936,2455892.07679,68.3,6.77657,240.74597,-7.25098,250.24663,0.00244,0.98465,16.92872,14.02755,9.50066,0.02167,59.58008,0.7034,0.70483,0.6311,0.63189,0,Not_seen,Not_seen,Not_seen,0,ICOP
344,2455892.13162,28.40125,36.56705,1.375,2455892.10925,2455892.15959,72.5,6.90183,239.1185,-7.41998,250.15654,0.00245,0.98465,18.06418,14.32181,11.03804,0.02465,59.507,0.79913,0.80079,0.71218,0.71307,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
345,2455892.44851,37.22966,-80.41368,1.692,2455892.42069,2455892.48328,90.11667,7.4793,233.63662,-8.16389,249.76652,0.00246,0.98465,22.43331,15.64319,16.1299,0.03784,59.19545,1.22048,1.22322,1.06176,1.06312,0.75,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
346,2455921.21382,32.76944,4.56055,0.959,2455921.19553,2455921.23669,59.26667,5.37992,241.63958,-5.81404,245.85616,0.00249,0.98113,11.95941,11.19396,4.21658,0.01085,58.4922,0.3459,0.34645,0.14605,0.14637,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,ICOP
