,Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
98,98,1994-12-03 17:56:49.055994,-33.9,18.4,1.748,2449690.23591,2449690.26264,38.4933,3.36008,248.7592,-3.12896,240.56638,0.0024,0.98334,10.44787,6.48904,-8.19282,0.00829,61.01349,0.27561,0.27589,-0.3659,-0.36573,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
99,99,1873-12-20 15:17:15.936002,38.0,23.7,1.637,2405513.12774,2405513.14855,29.97337,2.04349,231.35985,-2.28415,241.68402,0.00252,0.98117,11.19222,4.32764,10.32417,0.00951,58.21983,0.30167,0.30185,-0.56659,-0.56649,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
100,100,2004-10-16 01:17:49.919993,32.2,-111.1,2.054,2453294.5328,2453294.5806,68.82758,6.57112,242.25315,-6.40255,263.43334,0.00247,0.99459,24.79905,12.97367,21.18019,0.04611,58.93682,1.48074,1.48364,0.92244,0.92384,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
101,101,2004-10-16 01:43:18.336004,33.9,-118.0,2.072,2453294.55089,2453294.59781,67.56843,6.27462,241.53237,-6.16202,263.33111,0.00247,0.99459,25.05959,12.43664,21.79874,0.04707,58.97659,1.51253,1.51537,0.88405,0.88542,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
102,102,2004-10-16 01:43:50.304006,34.1,-118.2,2.072,2453294.55132,2453294.59809,67.35353,6.23246,241.46299,-6.1276,263.31389,0.00247,0.99459,25.06741,12.36006,21.8509,0.0471,58.98145,1.51359,1.51641,0.8769,0.87826,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
103,103,1986-12-31 22:05:51.935998,39.0,-77.0,0.921,2446796.40999,2446796.43419,34.84995,2.27164,231.28735,-2.62785,242.11871,0.00239,0.981,11.88489,4.89949,10.83136,0.01072,61.28027,0.3579,0.35816,-0.47638,-0.47623,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
104,104,2005-11-04 00:57:37.728016,32.2,-111.1,2.04,2453678.51957,2453678.56559,66.2686,5.74663,234.18167,-5.98243,255.60926,0.00253,0.98948,24.39472,11.72907,21.42759,0.04464,57.62322,1.40162,1.40397,0.75963,0.76078,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
105,105,2004-10-16 01:45:39.167990,44.6,-123.1,2.073,2453294.5571,2453294.59369,52.6863,3.86242,237.47214,-4.10009,261.45589,0.00247,0.99459,25.25254,7.96251,23.98375,0.04778,59.19775,1.54129,1.54308,0.45044,0.4513,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
106,106,1999-07-15 01:29:14.208013,43.3,-79.9,2.062,2451374.53692,2451374.59328,81.15074,7.02798,284.18314,-5.46833,306.77397,0.00249,1.0143,25.77551,12.4963,22.59083,0.04975,58.41652,1.58352,1.58682,0.92401,0.92558,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
107,107,2004-11-13 13:41:26.015993,36.1,50.3,1.57,2453323.06101,2453323.08223,30.56458,2.26328,237.08536,-2.54965,249.30596,0.00243,0.98708,13.13083,4.81294,12.2206,0.01307,60.34114,0.42984,0.43014,-0.44336,-0.44319,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1,SCHAEFER/ODEH
108,108,2003-11-26 00:37:33.312019,47.6,-117.5,3.026,2452969.49901,2452969.55992,87.711,4.77166,218.1282,-5.78414,245.23134,0.00241,0.98496,29.04926,10.5558,27.10314,0.0629,60.54296,2.07502,2.07806,0.95964,0.96104,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
109,109,1995-03-02 17:29:07.584017,-33.9,18.4,1.729,2449779.22087,2449779.23817,24.90947,2.23431,274.22418,-2.26881,259.77901,0.00259,0.98868,15.12725,4.50312,-14.44518,0.01733,56.55575,0.53393,0.53427,-0.41513,-0.41494,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
110,110,2001-02-24 17:28:39.072001,51.7,7.2,1.728,2451965.20605,2451965.25596,71.87747,5.09311,249.46132,-4.83409,261.18888,0.00268,0.98729,15.35382,9.92719,11.72757,0.01785,54.39346,0.52892,0.52966,0.12446,0.12487,0,Not_seen,Not_seen,Not_seen,0,SCHAEFER/ODEH
