,Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source
416,416,2456334.1076,26.37,49.82,0.608,2456334.1015,2456334.11523,19.77841,1.75739,259.51408,-1.89647,255.11324,0.00248,0.98448,5.71939,3.65386,-4.40084,0.00249,59.0119,0.08004,0.08008,-0.76818,-0.76816,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
417,417,2456393.15271,21.42,39.83,0.653,2456393.14915,2456393.15715,11.5202,0.8416,281.31219,-1.17701,279.24592,0.00263,0.99942,2.88855,2.0186,-2.06627,0.00064,55.77618,0.01931,0.01931,-0.96967,-0.96967,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
418,418,2456393.13872,25.62,45.62,0.639,2456393.13506,2456393.14329,11.84429,0.83125,281.49731,-1.17114,279.62876,0.00263,0.99941,2.73873,2.00238,-1.86855,0.00057,55.78324,0.01736,0.01736,-0.97252,-0.97252,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
419,419,2456571.13116,21.42,39.83,0.631,2456571.12583,2456571.13784,17.2914,1.56883,258.94089,-1.78257,265.37596,0.00253,0.99742,7.25466,3.3514,6.43507,0.004,57.8166,0.1261,0.12616,-0.76999,-0.76995,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
420,420,2456571.13051,24.39,39.63,0.631,2456571.12554,2456571.13672,16.10582,1.37888,258.64986,-1.62417,265.29557,0.00253,0.99742,7.29202,3.00305,6.64571,0.00404,57.82117,0.12741,0.12746,-0.80401,-0.80398,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
421,421,2456571.11753,26.35,43.95,0.618,2456571.11297,2456571.12323,14.77257,1.1873,258.53665,-1.46549,265.20165,0.00253,0.99742,7.17295,2.65279,6.665,0.00391,57.81836,0.12328,0.12333,-0.84158,-0.84155,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
422,422,2456571.12334,27.52,41.7,0.623,2456571.11886,2456571.12895,14.52257,1.14097,258.36872,-1.42576,265.15842,0.00253,0.99742,7.25811,2.56673,6.7897,0.00401,57.82251,0.12623,0.12628,-0.84837,-0.84834,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
423,423,2456571.11434,25.25,45.25,0.614,2456571.10969,2456571.12016,15.08025,1.24111,258.67389,-1.51046,265.24056,0.00253,0.99742,7.11926,2.75158,6.56667,0.00385,57.81546,0.12144,0.12149,-0.83283,-0.8328,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
424,424,2456571.11315,25.62,45.62,0.613,2456571.10855,2456571.11889,14.88408,1.21169,258.64409,-1.48596,265.22445,0.00253,0.99742,7.11128,2.69765,6.58036,0.00385,57.81543,0.12117,0.12121,-0.83839,-0.83836,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
425,425,2456571.10101,26.37,49.82,0.601,2456571.09667,2456571.10644,14.05858,1.10487,258.65131,-1.3948,265.1734,0.00253,0.99742,6.98419,2.49966,6.52209,0.00371,57.81092,0.11687,0.11691,-0.86083,-0.86081,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
426,426,2456600.1118,21.42,39.83,0.612,2456600.11091,2456600.11292,2.89635,-0.22165,253.39533,-0.28696,253.72432,0.00247,0.98946,0.33542,0.06532,0.329,1e-05,59.2264,0.00028,0.00028,-1.177,-1.177,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
427,427,2456659.11974,21.42,39.83,0.62,2456659.11526,2456659.12534,14.50773,1.11582,249.5762,-1.3637,245.7947,0.00239,0.98097,4.52167,2.47952,-3.7815,0.00156,61.41166,0.05208,0.05209,-0.90303,-0.90302,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
428,428,2456659.11646,24.39,39.63,0.616,2456659.11162,2456659.12251,15.68022,1.20733,248.93,-1.43559,245.33627,0.00239,0.98097,4.46068,2.64292,-3.59374,0.00151,61.40938,0.05068,0.0507,-0.88756,-0.88755,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
429,429,2456659.09606,24.72,46.67,0.596,2456659.09158,2456659.10167,14.5265,1.0693,248.88341,-1.32525,245.21939,0.00239,0.98097,4.37686,2.39455,-3.66402,0.00146,61.41045,0.04879,0.04881,-0.91358,-0.91357,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
430,430,2456659.10157,26.35,43.95,0.602,2456659.09673,2456659.10762,15.67057,1.17071,248.47273,-1.40795,244.94357,0.00239,0.98097,4.37061,2.57866,-3.52916,0.00145,61.40885,0.04865,0.04867,-0.89525,-0.89524,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
431,431,2456659.10632,27.52,41.7,0.606,2456659.1012,2456659.11272,16.58202,1.24849,248.15423,-1.46976,244.73115,0.00239,0.98097,4.37083,2.71826,-3.42308,0.00145,61.40752,0.04866,0.04868,-0.88129,-0.88128,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
432,432,2456659.11917,28.4,36.73,0.619,2456659.11365,2456659.12606,17.87534,1.37242,247.8834,-1.56882,244.59394,0.00239,0.98097,4.41238,2.94125,-3.28947,0.00148,61.40563,0.04959,0.04961,-0.85841,-0.8584,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
433,433,2456659.09938,25.25,45.25,0.599,2456659.09475,2456659.10516,14.99377,1.1142,248.75092,-1.3609,245.13705,0.00239,0.98097,4.37996,2.4751,-3.61387,0.00146,61.40985,0.04886,0.04888,-0.90548,-0.90547,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
434,434,2456659.09783,25.62,45.62,0.598,2456659.09317,2456659.10365,15.07949,1.11688,248.66272,-1.3631,245.06604,0.00239,0.98097,4.36857,2.47998,-3.59668,0.00145,61.40965,0.04861,0.04863,-0.90515,-0.90514,0,Not_seen,Not_seen,Not_seen,0.0,ALREFAY
