Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility
215,2452880.14163,32.6,51.7,1.642,2452880.12755,2452880.15924,45.63333,4.58867,277.67677,-4.9895,284.87697,0.00249,1.00773,11.97759,9.57817,7.2002,0.01089,58.65466,0.34791,0.34839,-0.01435,-0.01407,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
216,2453264.12466,26.2,50.5,1.625,2453264.1126,2453264.13973,39.06667,4.197,267.39403,-4.71945,275.39648,0.00256,1.00295,11.97545,8.91644,8.00244,0.01088,57.15691,0.33891,0.33932,-0.0858,-0.08556,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
217,2453264.1261,26.6,50.0,1.626,2453264.11406,2453264.14115,39.0,4.17276,267.35099,-4.69774,275.43676,0.00256,1.00295,11.99723,8.8705,8.08578,0.01092,57.15943,0.34015,0.34056,-0.08966,-0.08942,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
218,2452112.21017,31.9,35.8,1.71,2452112.19509,2452112.22903,48.86667,4.59084,290.39088,-4.96744,297.73901,0.0024,1.01369,12.05114,9.55828,7.34813,0.01102,60.87335,0.3655,0.36602,-0.00607,-0.00577,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
219,2452112.21096,32.6,35.9,1.711,2452112.19589,2452112.22979,48.81667,4.54054,290.5117,-4.9258,298.0093,0.0024,1.01369,12.0705,9.46634,7.4976,0.01105,60.87765,0.3667,0.36722,-0.01457,-0.01427,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
220,2451816.24596,32.5,3.7,1.746,2451816.23168,2451816.26381,46.26667,4.70852,263.58797,-5.17162,270.51232,0.00252,0.99935,12.06002,9.88014,6.92435,0.01104,57.919,0.34828,0.34876,0.01606,0.01634,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
221,2450370.14491,31.8,34.7,1.645,2450370.13279,2450370.16007,39.28333,3.81223,254.60602,-4.51012,263.33467,0.00258,0.99499,12.05463,8.32235,8.72865,0.01103,56.58186,0.33993,0.34031,-0.14461,-0.14439,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5
222,2452024.14635,32.6,51.7,1.646,2452024.13152,2452024.1649,48.06667,4.67602,281.907,-5.12123,289.01655,0.00256,1.00343,12.09991,9.79725,7.10955,0.01111,57.01548,0.34511,0.34557,0.00591,0.00619,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
223,2453264.12316,35.7,51.4,1.623,2453264.11211,2453264.13697,35.8,3.39778,266.80696,-4.05433,276.31026,0.00256,1.00295,12.07131,7.45211,9.50331,0.01106,57.20905,0.34465,0.34499,-0.22887,-0.22867,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
224,2453264.12443,34.7,50.9,1.624,2453264.11325,2453264.1384,36.21667,3.49348,266.84531,-4.13033,276.21484,0.00256,1.00295,12.07386,7.62381,9.36952,0.01106,57.20397,0.34476,0.34511,-0.21163,-0.21143,0,Not_seen,Not_seen,Not_seen,0
225,2451344.17088,29.4,48.0,1.671,2451344.15872,2451344.18608,39.4,3.67329,290.50638,-4.18268,299.71538,0.00241,1.01336,12.09906,7.85597,9.209,0.01111,60.66432,0.36714,0.36756,-0.17535,-0.1751,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
226,2453264.12651,33.3,50.1,1.627,2453264.11516,2453264.14071,36.78333,3.62228,266.90415,-4.24008,276.08445,0.00256,1.00295,12.08138,7.86236,9.18029,0.01107,57.19707,0.34515,0.34551,-0.18755,-0.18734,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
227,2453264.13188,28.4,48.0,1.632,2453264.11997,2453264.14678,38.61667,4.05212,267.16885,-4.59859,275.61926,0.00256,1.00295,12.08746,8.65071,8.45041,0.01109,57.17113,0.34534,0.34575,-0.1086,-0.10837,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5
228,2451728.21104,30.4,35.5,1.711,2451728.19727,2451728.22826,44.63333,4.15585,291.64931,-4.58435,300.06625,0.00239,1.0144,12.12837,8.74019,8.41694,0.01116,61.09452,0.37153,0.37201,-0.08437,-0.08409,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
229,2405070.18198,38.0,23.7,1.682,2405070.16961,2405070.19745,40.1,3.82232,258.81089,-4.20511,267.87445,0.0026,0.99721,12.10176,8.02743,9.06356,0.01111,56.34891,0.34118,0.34155,-0.17337,-0.17315,0,Not_seen,Not_seen,Not_seen,0
230,2451640.18032,32.0,35.9,1.68,2451640.16589,2451640.19834,46.73333,4.68272,273.70193,-5.17625,280.82553,0.00249,0.99826,12.15807,9.85897,7.1236,0.01121,58.57097,0.35793,0.35842,0.01958,0.01987,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5
231,2452762.18146,-33.9,18.4,1.681,2452762.17013,2452762.19564,36.73333,3.21613,295.52493,-4.07458,285.82832,0.00271,1.00524,12.12627,7.29071,-9.69661,0.01116,53.93334,0.32787,0.32816,-0.25485,-0.25468,0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5
232,2452496.18981,-34.0,18.4,1.69,2452496.17514,2452496.20815,47.53333,4.26933,293.74745,-5.01597,285.65496,0.00243,1.0114,12.31093,9.2853,-8.09249,0.0115,60.04818,0.3762,0.37669,-0.02714,-0.02685,0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1
233,2451935.23273,32.5,3.7,1.733,2451935.21646,2451935.25308,52.73333,4.88832,244.38296,-5.46054,251.13826,0.00272,0.98196,12.35345,10.34886,6.7553,0.01158,53.77367,0.33921,0.33967,0.05762,0.05789,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
234,2452909.56497,32.4,-111.0,1.065,2452909.55253,2452909.58051,40.28333,4.02982,262.40829,-4.61729,271.26149,0.00243,1.00014,12.36935,8.64711,8.8532,0.01161,60.10974,0.38016,0.38062,-0.08866,-0.08839,0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75
