Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source,Cloud cover,Distance
1534,2460085.1411,25.26535,55.29249,0.979,2460085.12426,2460085.16214,54.55,5.32765,294.98204,-5.83762,295.38268,0.00261,1.00933,11.17243,11.16527,0.40064,0.00948,55.8744,0.2885,0.28893,0.10938,0.10963,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.75,4444.819572387168
1535,2460085.14251,24.45384,54.3774,0.981,2460085.12578,2460085.16343,54.21667,5.33623,294.90567,-5.85022,295.12093,0.00261,1.00933,11.18852,11.18645,0.21526,0.0095,55.87282,0.28932,0.28976,0.11198,0.11224,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,0.75,130917.43397821616
1536,2460085.37048,54.37734,-0.88799,1.208,2460085.3401,2460085.40846,98.43333,5.00421,307.35478,-5.55161,316.66235,0.00262,1.00939,14.06445,10.55582,9.30757,0.01499,55.77446,0.45552,0.45617,0.14566,0.14603,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.0,21100.761872640578
1537,2460084.52539,37.22966,-80.41368,0.363,2460084.51847,2460084.53403,22.4,1.51413,297.67637,-2.60211,297.52517,0.0026,1.00917,4.11902,4.11624,-0.15119,0.00129,56.44638,0.03972,0.03974,-0.74709,-0.74707,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOP23,1.0,40717.579420729526
1538,2460085.1472,15.98322,48.65925,0.985,2460085.13164,2460085.16666,50.41667,5.2887,294.51931,-5.82915,292.77528,0.00261,1.00933,11.25338,11.11785,-1.74402,0.00961,55.8745,0.29268,0.29312,0.10711,0.10737,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.75,778460.6449051317
1539,2460083.25299,31.95236,5.38961,28.578,2460083.2712,2460083.23023,-59.0,-6.68025,295.20582,4.31572,290.46376,0.00256,1.00898,11.97162,10.99597,-4.74206,0.01087,56.78706,0.3365,0.33585,0.12074,0.12036,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.0,4084.6302562067904
1541,2460083.14661,24.47115,39.61112,28.471,2460083.16612,2460083.12222,-63.21667,-7.73035,292.56209,5.14968,289.19687,0.00256,1.00897,13.31038,12.88003,-3.36521,0.01343,56.7122,0.41506,0.41414,0.35484,0.35431,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.875,719557.278253029
1542,2460083.10317,25.26535,55.29249,28.428,2460083.12354,2460083.0777,-66.01667,-7.99768,292.71556,5.37087,289.13543,0.00256,1.00897,13.83727,13.36854,-3.58012,0.01451,56.69862,0.4483,0.44728,0.4228,0.42221,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.0,137411.08239973386
1544,2460084.27315,31.95236,5.38961,0.111,2460084.27168,2460084.27499,4.76667,-0.0837,296.04223,-1.24308,294.42133,0.00259,1.00912,1.99274,1.15938,-1.6209,0.0003,56.60913,0.00933,0.00933,-1.06188,-1.06188,0.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.875,4084.6302562067904
1549,2460114.31952,48.13711,11.57538,0.627,2460114.30326,2460114.33984,52.66667,2.96812,308.73291,-3.82659,312.16789,0.00267,1.01341,7.61266,6.79471,3.43498,0.00441,54.91073,0.13186,0.13197,-0.42212,-0.42205,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,1.0,1930.4773367580397
1550,2460113.98694,3.58967,98.67383,0.294,2460113.98352,2460113.99122,11.08333,0.74413,297.6888,-1.95839,293.60163,0.00266,1.01338,4.89934,2.70252,-4.08716,0.00183,55.11527,0.05486,0.05488,-0.87899,-0.87898,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.875,235341.25627898294
1553,2460114.27393,32.88344,13.35255,0.581,2460114.262,2460114.28883,38.63333,3.11193,300.79031,-3.95186,301.25713,0.00266,1.01341,7.07918,7.06379,0.46682,0.00381,54.9216,0.11407,0.11417,-0.40615,-0.40609,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.125,560285.3128621102
1554,2460114.27445,32.89667,13.17779,0.582,2460114.26251,2460114.28936,38.66667,3.11473,300.79243,-3.95379,301.26495,0.00266,1.01341,7.08427,7.06852,0.47251,0.00382,54.92125,0.11423,0.11433,-0.40557,-0.40551,0.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.125,545778.3463401311
1555,2460114.27446,32.88916,13.16873,0.582,2460114.26252,2460114.28938,38.66667,3.11452,300.7903,-3.95418,301.2617,0.00266,1.01341,7.08438,7.0687,0.4714,0.00382,54.92125,0.11424,0.11433,-0.40555,-0.40549,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,0.125,545528.8294153955
1556,2460113.97669,2.52289,101.79451,0.284,2460113.97356,2460113.9806,10.13333,0.63311,297.69196,-1.86534,293.531,0.00266,1.01338,4.85295,2.49845,-4.16096,0.00179,55.12082,0.05384,0.05385,-0.90004,-0.90003,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.875,25643.8062999559
1568,2460114.83584,-19.25694,146.82395,1.143,2460114.82157,2460114.85367,46.21667,4.45576,301.8237,-5.26974,292.99255,0.00268,1.01349,13.12948,9.7255,-8.83115,0.01307,54.62178,0.38902,0.3895,0.02432,0.0246,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,1.0,283108.0146610463
1574,2460115.00348,3.58967,98.67383,1.311,2460114.98368,2460115.02823,64.15,7.0534,297.35712,-7.34001,294.18369,0.00268,1.01352,14.7373,14.39342,-3.17343,0.01645,54.31297,0.48681,0.48775,0.54725,0.54779,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.875,347584.5083589388
1576,2460115.22401,32.06684,36.08858,1.532,2460115.19756,2460115.25708,85.71667,7.92384,296.8366,-7.73281,303.95115,0.00268,1.01357,17.18813,15.65665,7.11455,0.02233,54.1292,0.65863,0.66006,0.76954,0.77032,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.5,112286.27725219984
1579,2460114.99324,2.52289,101.79451,1.301,2460114.97372,2460115.01764,63.25,6.94863,297.5019,-7.25927,293.99909,0.00268,1.01352,14.63117,14.2079,-3.50281,0.01621,54.32877,0.48,0.48091,0.52483,0.52535,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.875,230358.3695408809
1580,2460114.99324,2.52289,101.79451,1.301,2460114.97372,2460115.01764,63.25,6.94863,297.5019,-7.25927,293.99909,0.00268,1.01352,14.63117,14.2079,-3.50281,0.01621,54.32877,0.48,0.48091,0.52483,0.52535,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,0.875,230358.3695408809
1581,2460115.08645,-20.32001,57.52297,1.394,2460115.06822,2460115.10925,59.08333,5.78586,302.62619,-6.4693,292.62226,0.00268,1.01354,15.80766,12.25516,-10.00393,0.01891,54.41943,0.56072,0.56161,0.37511,0.37561,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.875,19574.22023857342
1585,2460115.39659,53.57829,-2.43004,1.704,2460115.36293,2460115.43867,109.06667,5.76554,307.95132,-5.58651,323.64598,0.00268,1.01361,19.34899,11.35204,15.69466,0.02824,54.31784,0.83587,0.8372,0.43479,0.4355,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,1.0,58665.830724508785
1586,2460115.39634,54.37734,-0.88799,1.704,2460115.3623,2460115.43889,110.28333,5.59257,308.99493,-5.43625,324.93246,0.00268,1.01361,19.36113,11.02881,15.93753,0.02828,54.33423,0.83716,0.83845,0.40315,0.40384,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,1.0,21100.761872640578
1587,2460113.27574,33.40379,6.82645,29.114,2460113.28089,2460113.26931,-16.68333,-2.11835,303.88395,0.52529,297.99763,0.00264,1.01334,6.45173,2.64364,-5.88632,0.00317,55.39,0.09557,0.09552,-0.85958,-0.85961,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,0.0,130941.0992192801
1599,2460144.31464,48.13711,11.57538,1.043,2460144.29664,2460144.33713,58.3,3.89247,299.91936,-4.33194,308.46601,0.00271,1.01368,11.85579,8.22441,8.54665,0.01067,53.95523,0.31359,0.31392,-0.16988,-0.16969,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,1.0,1930.4773367580397
1605,2460144.21335,32.3636,35.56124,0.941,2460144.19767,2460144.23294,50.78333,4.64798,294.40522,-5.07289,298.79925,0.00271,1.01368,10.66566,9.72087,4.39403,0.00864,53.91743,0.25378,0.2541,-0.05571,-0.05552,0.0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP23,0.0,67306.22518678449
1606,2460144.21335,32.3636,35.56124,0.941,2460144.19767,2460144.23294,50.78333,4.64798,294.40522,-5.07289,298.79925,0.00271,1.01368,10.66566,9.72087,4.39403,0.00864,53.91743,0.25378,0.2541,-0.05571,-0.05552,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,0.0,67306.22518678449
1607,2460144.21014,31.36667,36.11667,0.938,2460144.19457,2460144.22959,50.43333,4.67883,294.2241,-5.10214,298.3833,0.00271,1.01368,10.62658,9.78097,4.1592,0.00858,53.91556,0.25192,0.25224,-0.05081,-0.05062,0.0,Seen,Seen_binoculars,Seen_binoculars;Seen_telescope;Seen_ccd,0.75,ICOP23,0.125,141737.77506420697
1609,2460144.2766,32.88344,13.35255,1.004,2460144.26017,2460144.29713,53.21667,4.87863,294.10503,-5.24088,299.15419,0.00271,1.01368,11.30628,10.11951,5.04916,0.0097,53.8897,0.28494,0.28532,0.00269,0.00291,0.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.0,87006.3695881803
1611,2460144.21331,31.76203,35.21775,0.941,2460144.19769,2460144.23285,50.63333,4.67467,294.28195,-5.09684,298.55046,0.00271,1.01368,10.66106,9.77151,4.2685,0.00863,53.91539,0.25355,0.25388,-0.05079,-0.05059,0.0,Seen,Seen_telescope,Seen_telescope;Seen_ccd,0.5,ICOP23,0.125,46196.60578768474
1613,2460144.21559,36.19924,37.16373,0.943,2460144.19961,2460144.23557,51.78333,4.46913,295.3313,-4.90508,300.53387,0.00271,1.01368,10.71829,9.37421,5.20257,0.00872,53.9305,0.25635,0.25666,-0.08885,-0.08866,0.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.0,390360.7171712952
1616,2460143.53661,37.22966,-80.41368,0.265,2460143.52831,2460143.54699,26.9,1.90936,300.16795,-2.9249,299.43594,0.0027,1.01369,4.88933,4.83426,-0.73201,0.00182,54.19038,0.05372,0.05375,-0.66653,-0.66651,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.5,40717.579420729526
1617,2460144.15313,15.98322,48.65925,0.881,2460144.13931,2460144.17042,44.8,4.7479,293.07885,-5.24243,293.60443,0.00271,1.01368,10.00411,9.99033,0.52558,0.0076,53.91923,0.22336,0.22365,-0.04699,-0.04682,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,1.0,589908.7928220514
1618,2460145.29246,43.85198,18.38669,2.02,2460145.26645,2460145.32498,84.28333,7.04822,289.59393,-6.449,307.13814,0.00272,1.01376,22.1029,13.49722,17.5442,0.03675,53.5732,1.07267,1.07472,0.77257,0.77361,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,1.0,107565.88744318883
1620,2460145.10111,-20.32001,57.52297,1.829,2460145.07478,2460145.13403,85.31667,9.23651,296.28583,-9.16135,288.91609,0.00271,1.01374,19.80723,18.39785,-7.36974,0.02958,53.29315,0.85902,0.86115,1.15164,1.15277,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,1.0,19574.22023857342
1622,2460145.37516,54.37734,-0.88799,2.103,2460145.35072,2460145.40572,79.2,4.95528,295.20405,-4.60537,316.31331,0.00272,1.01377,23.15094,9.56064,21.10927,0.04026,53.77531,1.17982,1.18141,0.43315,0.43395,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,1.0,21100.761872640578
1627,2460142.12394,15.98322,48.65925,28.431,2460142.13951,2460142.10448,-50.45,-6.20719,300.79001,4.1717,291.01164,0.00268,1.01385,14.24942,10.37889,-9.77837,0.01538,54.28051,0.455,0.45422,0.12766,0.12722,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,1.0,589908.7928220514
1629,2460172.98564,3.58967,98.67383,0.084,2460172.98375,2460172.98801,6.13333,0.22214,287.61444,-1.49292,283.85789,0.00272,1.01002,4.1292,1.71506,-3.75655,0.0013,53.92349,0.03814,0.03814,-0.9882,-0.9882,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOP23,0.875,235341.25627898294
