Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Source
338,2459258.228,51.38333,-0.1,0.932,2459258.216,2459258.243,39.7,2.3835,242.4085,-3.43106,252.64678,0.0026,0.98474,11.76999,5.81456,10.23828,0.01051,56.29208,0.32247,0.32269,-0.40564,-0.40551,0.5,Not_seen,Not_seen,Not_seen,ICOUK
339,2459258.228,51.50853,-0.12574,0.932,2459258.216,2459258.243,39.63333,2.36973,242.3367,-3.41905,252.58979,0.0026,0.98474,11.7702,5.78878,10.2531,0.01051,56.29274,0.32248,0.3227,-0.40821,-0.40808,0.5,Not_seen,Not_seen,Not_seen,ICOUK
340,2459258.228,51.50853,-0.12574,0.932,2459258.216,2459258.243,39.63333,2.36973,242.3367,-3.41905,252.58979,0.0026,0.98474,11.7702,5.78878,10.2531,0.01051,56.29274,0.32248,0.3227,-0.40821,-0.40808,0.5,Not_seen,Not_seen,Not_seen,ICOUK
341,2459258.228,51.50853,-0.12574,0.932,2459258.216,2459258.243,39.63333,2.36973,242.3367,-3.41905,252.58979,0.0026,0.98474,11.7702,5.78878,10.2531,0.01051,56.29274,0.32248,0.3227,-0.40821,-0.40808,0.5,Not_seen,Not_seen,Not_seen,ICOUK
342,2459258.228,53.90553,-1.69383,0.932,2459258.216,2459258.243,38.71667,2.10876,240.87919,-3.20668,251.42394,0.0026,0.98474,11.8049,5.31544,10.54476,0.01058,56.3029,0.32444,0.32463,-0.45439,-0.45428,0.5,Not_seen,Not_seen,Not_seen,ICOUK
343,2459258.226,53.95763,-1.08271,0.93,2459258.214,2459258.241,38.55,2.09269,240.84583,-3.1941,251.38387,0.0026,0.98474,11.78606,5.28679,10.53804,0.01054,56.30455,0.32342,0.32361,-0.45786,-0.45775,1,Not_seen,Not_seen,Not_seen,ICOUK
344,2459258.237,49.21667,-2.11667,0.942,2459258.225,2459258.253,41.05,2.66353,243.57378,-3.66032,253.58804,0.0026,0.98474,11.83921,6.32385,10.01426,0.01064,56.27445,0.32615,0.3264,-0.35254,-0.3524,0.5,Not_seen,Not_seen,Not_seen,ICOUK
345,2459287.256,53.75,-2.48333,0.325,2459287.257,2459287.255,-3.18333,-0.81083,260.3145,-0.62596,266.40691,0.00265,0.99146,6.09473,0.18487,6.09241,0.00283,55.2096,0.08502,0.085,-1.11199,-1.112,1,Not_seen,Not_seen,Not_seen,ICOUK
346,2459287.256,53.58333,-2.43333,0.325,2459287.257,2459287.255,-3.03333,-0.80045,260.33863,-0.63281,266.42855,0.00265,0.99146,6.09175,0.16765,6.08992,0.00282,55.20976,0.08494,0.08492,-1.11376,-1.11378,1,Not_seen,Not_seen,Not_seen,ICOUK
347,2459287.25,51.62127,0.30556,0.318,2459287.25,2459287.249,-1.96667,-0.725,260.61628,-0.69739,266.64141,0.00265,0.99146,6.02473,0.02761,6.02513,0.00276,55.21359,0.08309,0.08307,-1.12892,-1.12893,0.5,Not_seen,Not_seen,Not_seen,ICOUK
