hijri_month,conj,date,country,city,state,atmosphere,sky,y_eye,y_bino,y_tele,y_ccd
31-4,15/03/2010 21:01,16/03/2010,Algeria,Ghardaia,Ghardaia,superb,clear,TRUE,TRUE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Germany,Munich,Bavaria,very hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Germany,Moerlenbach,Hessen,clear,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Malaysia,Tanjung Bidara,Melaka,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Nigeria,Bauchi,Bauchi,clear,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Pakistan,Karachi,Sindh,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Saudi Arabia,Riyadh,Riyadh,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Saudi Arabia,Dammam,Eastern Province,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Senegal,Louga,Senegal,clear,clear,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Somalia,Garoowe,Puntland State,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,South Africa,Cape Town,Western Cape,clear,clear,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,Trinidad And Tobago,Cunupia,Chaguanas,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,United Kingdom,York,North Yorkshire,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,United States,Buchanan,Virginia,hazy,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-4,15/03/2010 21:01,16/03/2010,United States,Gainesville,Florida,clear,partly cloudy,TRUE,TRUE,FALSE,FALSE
31-4,15/03/2010 21:01,17/03/2010,Nigeria,KADUNA,KADUNA,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,17/03/2010,Pakistan,Karachi,Sindh,hazy,clear,TRUE,FALSE,FALSE,FALSE
31-4,15/03/2010 21:01,17/03/2010,Somalia,Garoowe,Puntland State,hazy,partly cloudy,TRUE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,14/04/2010,Algeria,Ghardaia,Ghardaia,hazy,clear,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,14/04/2010,Nigeria,Bauchi,Bauchi,hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,14/04/2010,United States,Blacksburg,Virginia,very hazy,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,14/04/2010,United States,Tucson,AZ,clear,partly cloudy,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,15/04/2010,Germany,Moerlenbach,Hessen,hazy,totally cloudy,FALSE,FALSE,FALSE,FALSE
31-May,14/04/2010 12:29,15/04/2010,Germany,Munich,Bavaria,hazy,partly cloudy,TRUE,FALSE,FALSE,FALSE
