Index,Date,Latitude,Longitude,Moon Age,Sunset,Moonset,Lag,Moon Alt,Moon Az,Sun Alt,Sun Az,Moon-Earth Dist,Sun-Moon Dist,ARCL,ARCV,DAZ,Illumination,Parallax,W,W',q,q',Cloud Level,Seen,Method,Methods,Visibility,Source,Cloud cover,Distance
1256,2459908.07121,24.45384,54.3774,0.615,2459908.06509,2459908.07885,19.81667,1.57138,241.64537,-2.69299,248.54615,0.00244,0.98495,8.11043,4.26438,6.90077,0.005,60.13389,0.16387,0.16395,-0.65559,-0.65554,0.0,Seen,Seen_ccd,Seen_ccd,0.25,ICOP23,-4,-4.0
1257,2459908.15843,54.37734,-0.88799,0.702,2459908.16013,2459908.15631,-5.5,-0.86683,223.89658,-0.54474,233.72456,0.00244,0.98495,9.83249,0.32209,9.82798,0.00734,60.18093,0.24084,0.24078,-1.00333,-1.00337,1.0,Not_seen,Not_seen,Not_seen,0.0,ICOP23,8,21100.761872640578
1258,2459908.43041,37.22966,-80.41368,0.974,2459908.42112,2459908.44203,30.1,2.08543,234.38191,-3.25553,246.35361,0.00243,0.98493,13.10453,5.34097,11.9717,0.01302,60.23376,0.42737,0.42764,-0.39198,-0.39182,0.5,Not_seen,Not_seen,Not_seen,0.0,ICOP23,-3,-3.0
1259,2459908.98799,23.7644,90.38902,1.532,2459908.96586,2459909.01566,71.71667,6.88157,236.14584,-7.64518,250.59548,0.00243,0.98493,20.46186,14.52674,14.44963,0.03155,59.95689,1.03067,1.03283,0.85401,0.85512,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1260,2459909.14534,30.04439,31.23573,1.689,2459909.12183,2459909.17472,76.16667,6.67467,232.65232,-7.63922,250.32081,0.00243,0.98493,22.7027,14.31389,17.66849,0.03874,60.00173,1.2666,1.26917,0.95177,0.95304,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,2,18642.04793936832
1261,2459909.14474,30.78337,30.99825,1.688,2459909.12145,2459909.17385,75.46667,6.52826,232.3192,-7.52126,250.2018,0.00243,0.98493,22.70563,14.04952,17.8826,0.03875,60.01941,1.2673,1.26981,0.92568,0.92693,0.0,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,2,81901.48209440189
1262,2459909.14443,46.42266,18.78877,1.688,2459909.12725,2459909.16591,55.68333,3.09306,222.69792,-4.6067,244.36205,0.00243,0.98493,22.97454,7.69976,21.66413,0.03966,60.32309,1.30365,1.30489,0.30868,0.30929,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1263,2459909.08146,34.64229,50.88012,1.625,2459909.06044,2459909.10773,68.1,5.45478,230.85792,-6.56832,249.19861,0.00243,0.98493,21.90129,12.0231,18.3407,0.03609,60.13059,1.18237,1.18433,0.68067,0.68166,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1264,2459909.08354,32.0116,51.86517,1.627,2459909.0617,2459909.11083,70.75,5.97862,232.13738,-7.00414,249.79747,0.00243,0.98493,21.88762,12.98276,17.66009,0.03604,60.07582,1.17983,1.18198,0.77537,0.77644,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
1265,2459909.17432,45.46419,9.18963,1.718,2459909.15608,2459909.19712,59.1,3.43043,223.25066,-4.92953,245.08904,0.00243,0.98493,23.36391,8.35996,21.83838,0.041,60.3058,1.34721,1.34862,0.39613,0.39682,0.5,Seen,Seen_eye,Seen_eye;Seen_binoculars;Seen_telescope;Seen_ccd,1.0,ICOP23,-4,-4.0
